city_id,city_name,country,latitude,longitude,weather_date,temp,humidity,cloudiness,wind_speed
2123814,Leningradskiy,RU,69.38,178.42,10/26/20,            26.85,97,100,16.13
2125693,Evensk,RU,61.95,159.23,10/26/20,            31.71,88,100,11.72
2961459,Skibbereen,IE,51.55,-9.27,10/26/20,            46.4,93,75,6.93
1730956,Amuñgan,PH,15.37,119.96,10/26/20,            77,88,75,6.93
4167178,Ormond Beach,US,29.29,-81.06,10/26/20,            79.48,74,40,8.05
2109528,Buala,SB,-8.14,159.59,10/26/20,            83.75,73,96,2.28
3452900,Porto Belo,BR,-27.16,-48.55,10/26/20,            72.79,83,40,13.87
3896218,Castro,CL,-42.47,-73.77,10/26/20,            45.61,66,20,8.05
2633274,Akureyri,IS,65.68,-18.09,10/26/20,            37.4,59,90,6.93
3671337,Puerto Rondón,CO,6.28,-71.1,10/26/20,            77.36,87,9,5.23
4036284,Alofi,NU,-19.06,-169.92,10/26/20,            78.8,69,75,16.11
6078372,Moose Factory,CA,51.26,-80.61,10/26/20,            23,67,1,4.7
212730,Kisangani,CD,0.52,25.2,10/26/20,            71.6,92,95,1.39
2070998,Geraldton,AU,-28.77,114.6,10/26/20,            62.6,88,12,10.25
2629833,Husavik,IS,66.04,-17.34,10/26/20,            37.4,59,90,6.93
1486321,Yar-Sale,RU,66.83,70.83,10/26/20,            7.07,95,70,6.13
3374083,Bathsheba,BB,13.22,-59.52,10/26/20,            75.2,94,75,11.41
3458121,Malacacheta,BR,-17.84,-42.08,10/26/20,            67.84,88,5,1.5
3373652,Oistins,BB,13.07,-59.53,10/26/20,            75.2,94,75,11.41
6255012,Flinders,AU,-34.58,150.86,10/26/20,            60.26,77,75,11.41
2062276,Roebourne,AU,-20.78,117.13,10/26/20,            77.97,43,16,1.68
2146219,Hervey Bay,AU,-25.3,152.85,10/26/20,            80.4,74,75,8.05
1035025,Nacala,MZ,-14.54,40.67,10/26/20,            73,87,3,0.67
1626542,Sorong,ID,-0.88,131.25,10/26/20,            81.88,71,90,3.49
6137462,Saint-Augustin,CA,51.23,-58.65,10/26/20,            33.01,79,94,10.2
2194098,Ahipara,NZ,-35.17,173.17,10/26/20,            68.13,75,33,6.64
5882953,Aklavik,CA,68.22,-135.01,10/26/20,            12.2,85,75,5.82
2428394,Mao,TD,14.12,15.31,10/26/20,            80.4,19,23,10
3123493,Ferrol,ES,43.48,-8.24,10/26/20,            54.95,87,20,6.93
930629,Chipoka,MW,-13.99,34.52,10/26/20,            78.17,54,15,8.39
986717,Kruisfontein,ZA,-34,24.73,10/26/20,            64,89,83,3
1163054,Turbat,PK,26,63.04,10/26/20,            62.91,30,0,1.32
5955902,Fort Nelson,CA,58.81,-122.7,10/26/20,            32,89,90,3.94
3910758,Mapiri,BO,-15.25,-68.17,10/26/20,            72.36,87,100,1.03
2126123,Chokurdakh,RU,70.63,147.92,10/26/20,            5.23,95,99,10.71
1785036,Zhangye,CN,38.93,100.45,10/26/20,            37.56,62,98,3.51
778362,Øksfjord,NO,70.24,22.35,10/26/20,            32.58,73,0,20.8
2125711,Esso,RU,55.93,158.7,10/26/20,            37.29,82,100,2.28
3382160,Cayenne,GF,4.93,-52.33,10/26/20,            80.6,88,75,2.24
2142316,Yeppoon,AU,-23.13,150.73,10/26/20,            77,78,75,8.43
2397614,Ndendé,GA,-2.4,11.36,10/26/20,            72.81,96,98,1.68
3115739,Narón,ES,43.52,-8.15,10/26/20,            55.26,87,20,6.93
4033077,Vaitape,PF,-16.52,-151.75,10/26/20,            81.46,75,75,18.05
3430443,Necochea,AR,-38.55,-58.74,10/26/20,            55.99,75,0,7
2264923,Peniche,PT,39.36,-9.38,10/26/20,            52,87,85,6.33
241131,Victoria,SC,-4.62,55.45,10/26/20,            80.6,78,20,9.17
1817240,Baiyin,CN,36.56,104.21,10/26/20,            36.23,93,90,2.24
2266938,Luz,PT,37.09,-7.7,10/26/20,            57.2,67,0,8.05
605155,Kiruna,SE,67.86,20.23,10/26/20,            28.4,100,44,9.17
3868626,Valparaíso,CL,-33.04,-71.63,10/26/20,            59,72,0,9.17
86049,Jalu,LY,29.03,21.55,10/26/20,            66.16,59,2,3.4
